15:12:46.665 0,0.32,0.24,-0.90,-0.02,-0.02,0.03
15:12:46.685 1,0.29,0.17,-0.84,-0.03,-0.01,0.00
15:12:46.705 2,0.33,0.16,-0.82,-0.03,-0.02,0.02
15:12:46.725 3,0.38,0.20,-0.71,0.01,-0.01,0.00
15:12:46.745 4,0.29,0.19,-0.77,-0.00,-0.00,-0.01
15:12:46.765 5,0.29,0.18,-0.87,0.01,0.02,-0.04
15:12:46.785 6,0.38,0.23,-0.78,0.01,-0.01,0.00
15:12:46.805 7,0.34,0.25,-0.88,0.01,-0.03,-0.02
15:12:46.825 8,0.28,0.20,-0.75,0.01,0.02,-0.02
15:12:46.845 9,0.33,0.27,-0.82,-0.00,-0.02,-0.01
15:12:46.865 10,0.28,0.14,-0.80,-0.02,-0.00,0.03
15:12:46.885 11,0.28,0.19,-0.73,0.02,0.01,0.05
15:12:46.905 12,0.31,0.16,-0.86,-0.01,0.00,0.00
15:12:46.925 13,0.20,0.11,-0.87,-0.02,0.02,-0.01
15:12:46.945 14,0.21,0.20,-0.83,-0.00,0.01,-0.02
15:12:46.965 15,0.27,0.19,-0.75,-0.02,-0.02,0.01
15:12:46.985 16,0.25,0.28,-0.88,-0.01,0.04,0.04
15:12:47.005 17,0.32,0.23,-0.94,0.01,0.00,-0.00
15:12:47.025 18,0.25,0.15,-0.82,0.01,-0.00,-0.05
15:12:47.045 19,0.23,0.29,-0.77,-0.02,0.02,0.01
15:12:47.065 20,0.37,0.26,-0.74,-0.01,0.00,0.02
15:12:47.085 21,0.29,0.23,-0.82,0.02,0.01,-0.03
15:12:47.105 22,0.30,0.19,-0.82,0.01,0.05,0.00
15:12:47.125 23,0.23,0.15,-0.74,0.04,-0.01,0.01
15:12:47.145 24,0.27,0.18,-0.89,0.02,-0.01,-0.00
15:12:47.165 25,0.31,0.25,-0.82,0.02,0.00,-0.02
15:12:47.185 26,0.24,0.29,-0.79,-0.03,0.02,0.02
15:12:47.205 27,0.32,0.28,-0.78,0.02,-0.03,-0.01
15:12:47.225 28,0.27,0.18,-0.83,-0.00,-0.04,-0.03
15:12:47.245 29,0.29,0.14,-0.80,-0.01,-0.01,-0.04
15:12:47.265 30,0.27,0.21,-0.92,0.00,-0.03,0.03
15:12:47.285 31,0.39,0.11,-0.83,0.02,-0.01,0.01
15:12:47.305 32,0.30,0.22,-0.78,0.01,0.01,0.00
15:12:47.325 33,0.25,0.19,-0.85,-0.02,-0.02,-0.01
15:12:47.345 34,0.34,0.18,-0.80,0.01,-0.03,-0.01
15:12:47.365 35,0.24,0.12,-0.78,-0.01,0.00,-0.02
15:12:47.385 36,0.31,0.23,-0.82,0.00,0.02,-0.01
15:12:47.405 37,0.20,0.17,-0.79,-0.01,-0.03,-0.04
